season,date,home_team,away_team,home_score,away_score
1957-1958,1957-12-22,GVAV,Feyenoord,3,3
1957-1958,1957-12-22,MVV,PSV,0,1
1957-1958,1957-12-22,NAC Breda,Fortuna Sittard,4,3
1957-1958,1957-12-22,Roda JC,SC Enschede,3,4
1957-1958,1957-12-22,Sparta Rotterdam,VVV-Venlo,1,2
1957-1958,1957-12-26,NOAD,BVV Den Bosch,3,3
1957-1958,1957-12-26,SC Enschede,MVV,2,0
1957-1958,1957-12-29,Feyenoord,Sparta Rotterdam,1,2
1957-1958,1957-12-29,NOAD,GVAV,3,1
1957-1958,1958-01-05,ADO Den Haag,Elinkwijk,1,0
1957-1958,1958-01-05,DOS,Feyenoord,6,2
1957-1958,1958-01-05,GVAV,Fortuna Sittard,1,7
1957-1958,1958-01-05,MVV,Ajax,3,0
1957-1958,1958-01-05,PSV,SC Enschede,1,1
1957-1958,1958-01-05,Roda JC,BVV Den Bosch,4,1
1957-1958,1958-01-05,Sparta Rotterdam,NOAD,8,1
1957-1958,1958-01-12,Ajax,SC Enschede,0,0
1957-1958,1958-01-12,BVC Amsterdam,GVAV,0,0
1957-1958,1958-01-12,Elinkwijk,MVV,3,3
1957-1958,1958-01-12,Fortuna Sittard,DOS,1,0
1957-1958,1958-01-12,NOAD,Blauw Wit,1,0
1957-1958,1958-01-12,PSV,Roda JC,4,2
1957-1958,1958-01-12,VVV-Venlo,ADO Den Haag,2,0
1957-1958,1958-01-19,ADO Den Haag,NOAD,0,4
1957-1958,1958-01-19,Blauw Wit,Feyenoord,1,4
1957-1958,1958-01-19,MVV,VVV-Venlo,0,1
1957-1958,1958-01-19,PSV,Ajax,0,5
1957-1958,1958-01-19,Roda JC,NAC Breda,1,2
1957-1958,1958-01-19,SC Enschede,Elinkwijk,5,2
1957-1958,1958-01-19,Sparta Rotterdam,Fortuna Sittard,2,2
1957-1958,1958-02-02,Ajax,Roda JC,1,1
1957-1958,1958-02-02,BVC Amsterdam,Sparta Rotterdam,2,2
1957-1958,1958-02-02,BVV Den Bosch,DOS,2,4
1957-1958,1958-02-02,Elinkwijk,PSV,3,3
1957-1958,1958-02-02,Feyenoord,ADO Den Haag,0,1
1957-1958,1958-02-02,Fortuna Sittard,Blauw Wit,6,2
1957-1958,1958-02-02,NAC Breda,GVAV,4,1
1957-1958,1958-02-02,NOAD,MVV,2,3
1957-1958,1958-02-02,VVV-Venlo,SC Enschede,3,1
1957-1958,1958-02-09,ADO Den Haag,Fortuna Sittard,1,2
1957-1958,1958-02-09,Ajax,Elinkwijk,1,1
1957-1958,1958-02-09,Blauw Wit,BVC Amsterdam,1,1
1957-1958,1958-02-09,DOS,NAC Breda,5,2
1957-1958,1958-02-09,MVV,Feyenoord,0,4
1957-1958,1958-02-09,PSV,VVV-Venlo,3,0
1957-1958,1958-02-09,Roda JC,GVAV,1,0
1957-1958,1958-02-09,SC Enschede,NOAD,3,0
1957-1958,1958-02-09,Sparta Rotterdam,BVV Den Bosch,3,1
1957-1958,1958-02-16,Blauw Wit,VVV-Venlo,4,1
1957-1958,1958-02-16,DOS,BVC Amsterdam,3,1
1957-1958,1958-02-16,NAC Breda,BVV Den Bosch,4,2
1957-1958,1958-02-23,Elinkwijk,Roda JC,2,1
1957-1958,1958-02-23,Feyenoord,SC Enschede,1,1
1957-1958,1958-02-23,Fortuna Sittard,MVV,0,1
1957-1958,1958-02-23,GVAV,DOS,1,2
1957-1958,1958-02-23,NAC Breda,Sparta Rotterdam,4,1
1957-1958,1958-03-16,ADO Den Haag,BVV Den Bosch,0,1
1957-1958,1958-03-16,Ajax,NOAD,1,0
1957-1958,1958-03-16,Blauw Wit,NAC Breda,1,1
1957-1958,1958-03-16,Elinkwijk,VVV-Venlo,2,2
1957-1958,1958-03-16,MVV,BVC Amsterdam,1,1
1957-1958,1958-03-16,PSV,Feyenoord,6,0
1957-1958,1958-03-16,Roda JC,DOS,1,0
1957-1958,1958-03-16,SC Enschede,Fortuna Sittard,0,7
1957-1958,1958-03-16,Sparta Rotterdam,GVAV,1,0
1957-1958,1958-03-23,GVAV,BVV Den Bosch,1,2
1957-1958,1958-03-23,NAC Breda,BVC Amsterdam,1,1
1957-1958,1958-03-23,NOAD,PSV,3,1
1957-1958,1958-03-23,VVV-Venlo,Ajax,1,1
1957-1958,1958-03-30,BVC Amsterdam,SC Enschede,2,2
1957-1958,1958-03-30,BVV Den Bosch,MVV,2,3
1957-1958,1958-03-30,DOS,Sparta Rotterdam,2,1
1957-1958,1958-03-30,Feyenoord,Ajax,2,3
1957-1958,1958-03-30,Fortuna Sittard,PSV,1,0
1957-1958,1958-03-30,GVAV,Blauw Wit,1,0
1957-1958,1958-03-30,NAC Breda,ADO Den Haag,0,0
1957-1958,1958-03-30,NOAD,Elinkwijk,1,2
1957-1958,1958-03-30,VVV-Venlo,Roda JC,4,1
1957-1958,1958-04-07,ADO Den Haag,GVAV,1,1
1957-1958,1958-04-07,Ajax,Fortuna Sittard,2,0
1957-1958,1958-04-07,Blauw Wit,DOS,2,2
1957-1958,1958-04-07,Elinkwijk,Feyenoord,1,0
1957-1958,1958-04-07,MVV,NAC Breda,2,1
1957-1958,1958-04-07,PSV,BVC Amsterdam,6,1
1957-1958,1958-04-07,Roda JC,Sparta Rotterdam,1,1
1957-1958,1958-04-07,SC Enschede,BVV Den Bosch,4,0
1957-1958,1958-04-07,VVV-Venlo,NOAD,2,2
1957-1958,1958-04-14,BVC Amsterdam,ADO Den Haag,2,1
1957-1958,1958-04-14,BVV Den Bosch,Blauw Wit,1,2
1957-1958,1958-04-20,BVC Amsterdam,Ajax,0,2
1957-1958,1958-04-20,BVV Den Bosch,PSV,1,5
1957-1958,1958-04-20,DOS,ADO Den Haag,4,2
1957-1958,1958-04-20,Feyenoord,VVV-Venlo,1,3
1957-1958,1958-04-20,Fortuna Sittard,Elinkwijk,2,2
1957-1958,1958-04-20,GVAV,MVV,0,0
1957-1958,1958-04-20,NAC Breda,SC Enschede,1,2
1957-1958,1958-04-20,NOAD,Roda JC,2,0
1957-1958,1958-04-20,Sparta Rotterdam,Blauw Wit,0,0
1957-1958,1958-04-27,ADO Den Haag,Sparta Rotterdam,3,3
1957-1958,1958-04-27,Ajax,BVV Den Bosch,3,1
1957-1958,1958-04-27,Elinkwijk,BVC Amsterdam,2,1
1957-1958,1958-04-27,MVV,DOS,0,4
1957-1958,1958-04-27,PSV,NAC Breda,0,1
1957-1958,1958-04-27,Roda JC,Blauw Wit,3,1
1957-1958,1958-04-27,SC Enschede,GVAV,3,2
1957-1958,1958-04-27,VVV-Venlo,Fortuna Sittard,0,1
1957-1958,1958-04-30,NOAD,Feyenoord,1,1
1957-1958,1958-05-11,Blauw Wit,ADO Den Haag,3,2
1957-1958,1958-05-11,BVC Amsterdam,VVV-Venlo,6,1
1957-1958,1958-05-11,BVV Den Bosch,Elinkwijk,1,0
1957-1958,1958-05-11,DOS,SC Enschede,0,2
1957-1958,1958-05-11,Feyenoord,Roda JC,5,1
1957-1958,1958-05-11,Fortuna Sittard,NOAD,1,2
1957-1958,1958-05-11,GVAV,PSV,7,1
1957-1958,1958-05-11,NAC Breda,Ajax,2,1
1957-1958,1958-05-11,Sparta Rotterdam,MVV,2,1
1957-1958,1958-05-15,Ajax,GVAV,3,2
1957-1958,1958-05-15,Elinkwijk,NAC Breda,2,1
1957-1958,1958-05-15,Feyenoord,Fortuna Sittard,1,1
1957-1958,1958-05-15,MVV,Blauw Wit,3,1
1957-1958,1958-05-15,NOAD,BVC Amsterdam,0,2
1957-1958,1958-05-15,PSV,DOS,2,3
1957-1958,1958-05-15,Roda JC,ADO Den Haag,0,4
1957-1958,1958-05-15,SC Enschede,Sparta Rotterdam,2,0
1957-1958,1958-05-15,VVV-Venlo,BVV Den Bosch,6,0
1957-1958,1958-05-18,ADO Den Haag,MVV,0,1
1957-1958,1958-05-18,Blauw Wit,SC Enschede,1,0
1957-1958,1958-05-18,BVC Amsterdam,Feyenoord,1,1
1957-1958,1958-05-18,BVV Den Bosch,NOAD,0,2
1957-1958,1958-05-18,DOS,Ajax,5,1
1957-1958,1958-05-18,Fortuna Sittard,Roda JC,3,0
1957-1958,1958-05-18,GVAV,Elinkwijk,0,0
1957-1958,1958-05-18,NAC Breda,VVV-Venlo,4,1
1957-1958,1958-05-18,Sparta Rotterdam,PSV,2,0
1957-1958,1958-05-26,Ajax,Sparta Rotterdam,2,2
1957-1958,1958-05-26,Elinkwijk,DOS,2,3
1957-1958,1958-05-26,Feyenoord,BVV Den Bosch,2,4
1957-1958,1958-05-26,Fortuna Sittard,BVC Amsterdam,3,1
1957-1958,1958-05-26,NOAD,NAC Breda,2,4
1957-1958,1958-05-26,PSV,Blauw Wit,2,3
1957-1958,1958-05-26,Roda JC,MVV,2,2
1957-1958,1958-05-26,SC Enschede,ADO Den Haag,4,3
1957-1958,1958-05-26,VVV-Venlo,GVAV,2,3
1957-1958,1958-06-01,ADO Den Haag,PSV,2,0
1957-1958,1958-06-01,Blauw Wit,Ajax,2,1
1957-1958,1958-06-01,BVV Den Bosch,Fortuna Sittard,0,2
1957-1958,1958-06-01,DOS,VVV-Venlo,6,1
1957-1958,1958-06-01,GVAV,NOAD,5,0
1957-1958,1958-06-01,MVV,SC Enschede,2,1
1957-1958,1958-06-01,NAC Breda,Feyenoord,3,1
1957-1958,1958-06-01,Roda JC,BVC Amsterdam,1,2
1957-1958,1958-06-01,Sparta Rotterdam,Elinkwijk,0,2
1957-1958,1958-06-04,Ajax,ADO Den Haag,1,1
1957-1958,1958-06-04,BVC Amsterdam,BVV Den Bosch,3,1
1957-1958,1958-06-04,Elinkwijk,Blauw Wit,0,5
1957-1958,1958-06-04,Feyenoord,GVAV,2,1
1957-1958,1958-06-04,Fortuna Sittard,NAC Breda,5,5
1957-1958,1958-06-04,NOAD,DOS,3,3
1957-1958,1958-06-04,PSV,MVV,2,0
1957-1958,1958-06-04,SC Enschede,Roda JC,4,0
1957-1958,1958-06-04,VVV-Venlo,Sparta Rotterdam,1,0
1958-1959,1958-08-24,Ajax,DWS,0,1
1958-1959,1958-08-24,Blauw Wit,PSV,0,2
1958-1959,1958-08-24,Elinkwijk,Fortuna Sittard,0,1
1958-1959,1958-08-24,Feyenoord,NOAD,3,1
1958-1959,1958-08-24,MVV,Roda JC,2,2
1958-1959,1958-08-24,SC Enschede,DOS,1,0
1958-1959,1958-08-24,SHS,NAC Breda,2,2
1958-1959,1958-08-24,VVV-Venlo,ADO Den Haag,1,1
1958-1959,1958-08-24,Willem II,Sparta Rotterdam,0,0
1958-1959,1958-08-31,ADO Den Haag,SHS,3,2
1958-1959,1958-08-31,DOS,Blauw Wit,7,3
1958-1959,1958-08-31,DWS,VVV-Venlo,0,0
1958-1959,1958-08-31,Fortuna Sittard,Willem II,5,4
1958-1959,1958-08-31,NAC Breda,MVV,2,3
1958-1959,1958-08-31,NOAD,SC Enschede,2,6
1958-1959,1958-08-31,PSV,Elinkwijk,2,0
1958-1959,1958-08-31,Roda JC,Feyenoord,3,3
1958-1959,1958-08-31,Sparta Rotterdam,Ajax,4,2
1958-1959,1958-09-07,Ajax,Fortuna Sittard,2,0
1958-1959,1958-09-07,Blauw Wit,NOAD,5,1
1958-1959,1958-09-07,DOS,PSV,2,2
1958-1959,1958-09-07,Feyenoord,NAC Breda,2,2
1958-1959,1958-09-07,MVV,ADO Den Haag,7,1
1958-1959,1958-09-07,SC Enschede,Roda JC,1,0
1958-1959,1958-09-07,SHS,DWS,3,2
1958-1959,1958-09-07,VVV-Venlo,Sparta Rotterdam,3,3
1958-1959,1958-09-07,Willem II,Elinkwijk,5,1
1958-1959,1958-09-14,ADO Den Haag,Feyenoord,2,1
1958-1959,1958-09-14,DWS,MVV,1,1
1958-1959,1958-09-14,Elinkwijk,Ajax,2,2
1958-1959,1958-09-14,Fortuna Sittard,VVV-Venlo,3,1
1958-1959,1958-09-14,NAC Breda,SC Enschede,0,3
1958-1959,1958-09-14,NOAD,DOS,2,0
1958-1959,1958-09-14,PSV,Willem II,3,0
1958-1959,1958-09-14,Roda JC,Blauw Wit,3,1
1958-1959,1958-09-14,Sparta Rotterdam,SHS,6,1
1958-1959,1958-09-21,Ajax,Willem II,3,1
1958-1959,1958-09-21,Blauw Wit,NAC Breda,4,2
1958-1959,1958-09-21,DOS,Roda JC,2,1
1958-1959,1958-09-21,Feyenoord,DWS,0,0
1958-1959,1958-09-21,MVV,Sparta Rotterdam,2,0
1958-1959,1958-09-21,NOAD,PSV,1,3
1958-1959,1958-09-21,SC Enschede,ADO Den Haag,2,1
1958-1959,1958-09-21,SHS,Fortuna Sittard,2,0
1958-1959,1958-09-21,VVV-Venlo,Elinkwijk,4,1
1958-1959,1958-10-05,ADO Den Haag,Blauw Wit,1,2
1958-1959,1958-10-05,DWS,SC Enschede,6,3
1958-1959,1958-10-05,Elinkwijk,SHS,2,0
1958-1959,1958-10-05,Fortuna Sittard,MVV,0,0
1958-1959,1958-10-05,NAC Breda,DOS,1,2
1958-1959,1958-10-05,PSV,Ajax,1,1
1958-1959,1958-10-05,Roda JC,NOAD,5,3
1958-1959,1958-10-05,Sparta Rotterdam,Feyenoord,2,2
1958-1959,1958-10-05,Willem II,VVV-Venlo,0,3
1958-1959,1958-10-12,Blauw Wit,DWS,1,3
1958-1959,1958-10-12,DOS,ADO Den Haag,5,0
1958-1959,1958-10-12,Feyenoord,Fortuna Sittard,6,0
1958-1959,1958-10-12,MVV,Elinkwijk,1,3
1958-1959,1958-10-12,NOAD,NAC Breda,3,3
1958-1959,1958-10-12,Roda JC,PSV,2,1
1958-1959,1958-10-12,SC Enschede,Sparta Rotterdam,0,2
1958-1959,1958-10-12,SHS,Willem II,6,1
1958-1959,1958-10-12,VVV-Venlo,Ajax,3,2
1958-1959,1958-10-19,ADO Den Haag,NOAD,5,1
1958-1959,1958-10-19,Ajax,SHS,1,2
1958-1959,1958-10-19,DWS,DOS,0,1
1958-1959,1958-10-19,Elinkwijk,Feyenoord,3,6
1958-1959,1958-10-19,Fortuna Sittard,SC Enschede,2,0
1958-1959,1958-10-19,NAC Breda,Roda JC,0,3
1958-1959,1958-10-19,PSV,VVV-Venlo,0,1
1958-1959,1958-10-19,Sparta Rotterdam,Blauw Wit,2,1
1958-1959,1958-10-19,Willem II,MVV,3,3
1958-1959,1958-10-26,Blauw Wit,Fortuna Sittard,1,0
1958-1959,1958-10-26,DOS,Sparta Rotterdam,0,3
1958-1959,1958-10-26,Feyenoord,Willem II,6,1
1958-1959,1958-10-26,MVV,Ajax,1,4
1958-1959,1958-10-26,NAC Breda,PSV,3,2
1958-1959,1958-10-26,NOAD,DWS,2,2
1958-1959,1958-10-26,Roda JC,ADO Den Haag,6,0
1958-1959,1958-10-26,SC Enschede,Elinkwijk,2,2
1958-1959,1958-10-26,SHS,VVV-Venlo,1,2
1958-1959,1958-11-09,ADO Den Haag,NAC Breda,3,1
1958-1959,1958-11-09,Ajax,Feyenoord,3,1
1958-1959,1958-11-09,DWS,Roda JC,2,0
1958-1959,1958-11-09,Elinkwijk,Blauw Wit,3,0
1958-1959,1958-11-09,Fortuna Sittard,DOS,1,2
1958-1959,1958-11-09,PSV,SHS,4,2
1958-1959,1958-11-09,Sparta Rotterdam,NOAD,4,0
1958-1959,1958-11-09,VVV-Venlo,MVV,1,1
1958-1959,1958-11-09,Willem II,SC Enschede,3,3
1958-1959,1958-11-16,ADO Den Haag,PSV,2,2
1958-1959,1958-11-16,Blauw Wit,Willem II,6,2
1958-1959,1958-11-16,DOS,Elinkwijk,2,1
1958-1959,1958-11-16,Feyenoord,VVV-Venlo,2,0
1958-1959,1958-11-16,MVV,SHS,2,2
1958-1959,1958-11-16,NAC Breda,DWS,1,1
1958-1959,1958-11-16,NOAD,Fortuna Sittard,0,0
1958-1959,1958-11-16,Roda JC,Sparta Rotterdam,0,0
1958-1959,1958-11-16,SC Enschede,Ajax,1,1
1958-1959,1958-11-23,Ajax,Blauw Wit,4,2
1958-1959,1958-11-23,DWS,ADO Den Haag,2,1
1958-1959,1958-11-23,Elinkwijk,NOAD,4,0
1958-1959,1958-11-23,Fortuna Sittard,Roda JC,0,1
1958-1959,1958-11-23,PSV,MVV,0,0
1958-1959,1958-11-23,SHS,Feyenoord,1,2
1958-1959,1958-11-23,Sparta Rotterdam,NAC Breda,1,0
1958-1959,1958-11-23,VVV-Venlo,SC Enschede,3,0
1958-1959,1958-11-23,Willem II,DOS,2,6
1958-1959,1958-11-30,ADO Den Haag,Sparta Rotterdam,1,6
1958-1959,1958-11-30,Blauw Wit,VVV-Venlo,5,2
1958-1959,1958-11-30,DOS,Ajax,5,3
1958-1959,1958-11-30,DWS,PSV,2,2
1958-1959,1958-11-30,Feyenoord,MVV,3,1
1958-1959,1958-11-30,NAC Breda,Fortuna Sittard,0,1
1958-1959,1958-11-30,NOAD,Willem II,1,2
1958-1959,1958-11-30,Roda JC,Elinkwijk,2,1
1958-1959,1958-11-30,SC Enschede,SHS,5,0
1958-1959,1958-12-07,Ajax,NOAD,2,0
1958-1959,1958-12-07,Elinkwijk,NAC Breda,1,3
1958-1959,1958-12-07,Fortuna Sittard,ADO Den Haag,3,1
1958-1959,1958-12-07,PSV,Feyenoord,3,1
1958-1959,1958-12-07,SHS,Blauw Wit,1,3
1958-1959,1958-12-07,Sparta Rotterdam,DWS,2,2
1958-1959,1958-12-07,VVV-Venlo,DOS,0,0
1958-1959,1958-12-07,Willem II,Roda JC,2,0
1958-1959,1958-12-14,ADO Den Haag,Elinkwijk,2,1
1958-1959,1958-12-14,Blauw Wit,MVV,0,0
1958-1959,1958-12-14,DOS,SHS,10,0
1958-1959,1958-12-14,DWS,Fortuna Sittard,0,2
1958-1959,1958-12-14,NAC Breda,Willem II,4,0
1958-1959,1958-12-14,Roda JC,Ajax,4,1
1958-1959,1958-12-14,SC Enschede,Feyenoord,4,0
1958-1959,1958-12-14,Sparta Rotterdam,PSV,4,1
1958-1959,1958-12-21,Ajax,NAC Breda,5,2
1958-1959,1958-12-21,Elinkwijk,DWS,3,3
1958-1959,1958-12-21,Feyenoord,Blauw Wit,5,1
1958-1959,1958-12-21,Fortuna Sittard,Sparta Rotterdam,3,1
1958-1959,1958-12-21,MVV,DOS,1,3
1958-1959,1958-12-21,SC Enschede,PSV,6,3
1958-1959,1958-12-21,SHS,NOAD,1,7
1958-1959,1958-12-21,VVV-Venlo,Roda JC,1,1
1958-1959,1958-12-21,Willem II,ADO Den Haag,1,1
1958-1959,1958-12-26,ADO Den Haag,Ajax,3,4
1958-1959,1958-12-26,Blauw Wit,SC Enschede,0,3
1958-1959,1958-12-26,DOS,Feyenoord,0,1
1958-1959,1958-12-26,DWS,Willem II,4,1
1958-1959,1958-12-26,NAC Breda,VVV-Venlo,2,2
1958-1959,1958-12-26,NOAD,MVV,1,1
1958-1959,1958-12-26,PSV,Fortuna Sittard,1,2
1958-1959,1958-12-26,Roda JC,SHS,2,1
1958-1959,1958-12-26,Sparta Rotterdam,Elinkwijk,3,0
1958-1959,1958-12-28,Ajax,ADO Den Haag,3,3
1958-1959,1958-12-28,Elinkwijk,Sparta Rotterdam,0,0
1958-1959,1958-12-28,Feyenoord,DOS,4,1
1958-1959,1958-12-28,Fortuna Sittard,PSV,1,1
1958-1959,1958-12-28,MVV,NOAD,4,2
1958-1959,1958-12-28,SC Enschede,Blauw Wit,2,1
1958-1959,1958-12-28,SHS,Roda JC,0,1
1958-1959,1958-12-28,VVV-Venlo,NAC Breda,2,3
1958-1959,1958-12-28,Willem II,DWS,2,1
1958-1959,1959-01-04,ADO Den Haag,VVV-Venlo,5,1
1958-1959,1959-01-04,DOS,SC Enschede,2,3
1958-1959,1959-01-04,DWS,Ajax,1,2
1958-1959,1959-01-04,Fortuna Sittard,Elinkwijk,3,2
1958-1959,1959-01-04,NAC Breda,SHS,5,0
1958-1959,1959-01-04,NOAD,Feyenoord,2,1
1958-1959,1959-01-04,PSV,Blauw Wit,5,4
1958-1959,1959-01-04,Sparta Rotterdam,Willem II,3,0
1958-1959,1959-01-11,Elinkwijk,PSV,3,0
1958-1959,1959-01-11,SC Enschede,NOAD,0,0
1958-1959,1959-01-18,Roda JC,MVV,3,1
1958-1959,1959-01-25,Ajax,Sparta Rotterdam,1,1
1958-1959,1959-01-25,Blauw Wit,DOS,1,1
1958-1959,1959-01-25,Feyenoord,Roda JC,2,0
1958-1959,1959-01-25,MVV,NAC Breda,3,0
1958-1959,1959-01-25,SHS,ADO Den Haag,2,2
1958-1959,1959-01-25,VVV-Venlo,DWS,6,2
1958-1959,1959-01-25,Willem II,Fortuna Sittard,0,4
1958-1959,1959-02-01,ADO Den Haag,MVV,0,1
1958-1959,1959-02-01,DWS,SHS,2,1
1958-1959,1959-02-01,Elinkwijk,Willem II,4,2
1958-1959,1959-02-01,Fortuna Sittard,Ajax,3,1
1958-1959,1959-02-01,NAC Breda,Feyenoord,3,0
1958-1959,1959-02-01,PSV,DOS,1,3
1958-1959,1959-02-01,Roda JC,SC Enschede,3,1
1958-1959,1959-02-01,Sparta Rotterdam,VVV-Venlo,2,1
1958-1959,1959-02-08,NOAD,Blauw Wit,1,4
1958-1959,1959-02-22,Ajax,Elinkwijk,1,4
1958-1959,1959-02-22,Blauw Wit,Roda JC,1,2
1958-1959,1959-02-22,DOS,NOAD,2,2
1958-1959,1959-02-22,Feyenoord,ADO Den Haag,4,0
1958-1959,1959-02-22,MVV,DWS,4,2
1958-1959,1959-02-22,SC Enschede,NAC Breda,6,2
1958-1959,1959-02-22,SHS,Sparta Rotterdam,1,5
1958-1959,1959-02-22,VVV-Venlo,Fortuna Sittard,1,1
1958-1959,1959-02-22,Willem II,PSV,1,0
1958-1959,1959-03-01,ADO Den Haag,SC Enschede,2,0
1958-1959,1959-03-01,DWS,Feyenoord,0,5
1958-1959,1959-03-01,Elinkwijk,VVV-Venlo,1,1
1958-1959,1959-03-01,Fortuna Sittard,SHS,4,1
1958-1959,1959-03-01,NAC Breda,Blauw Wit,3,0
1958-1959,1959-03-01,PSV,NOAD,4,3
1958-1959,1959-03-01,Roda JC,DOS,2,0
1958-1959,1959-03-01,Sparta Rotterdam,MVV,3,0
1958-1959,1959-03-01,Willem II,Ajax,5,1
1958-1959,1959-03-08,Ajax,PSV,1,0
1958-1959,1959-03-08,Blauw Wit,ADO Den Haag,1,1
1958-1959,1959-03-08,DOS,NAC Breda,3,2
1958-1959,1959-03-08,Feyenoord,Sparta Rotterdam,0,3
1958-1959,1959-03-08,MVV,Fortuna Sittard,2,2
1958-1959,1959-03-08,NOAD,Roda JC,0,1
1958-1959,1959-03-08,SC Enschede,DWS,3,2
1958-1959,1959-03-08,SHS,Elinkwijk,0,1
1958-1959,1959-03-08,VVV-Venlo,Willem II,5,2
1958-1959,1959-03-15,ADO Den Haag,DOS,1,1
1958-1959,1959-03-15,Ajax,VVV-Venlo,3,0
1958-1959,1959-03-15,DWS,Blauw Wit,2,2
1958-1959,1959-03-15,Elinkwijk,MVV,1,1
1958-1959,1959-03-15,Fortuna Sittard,Feyenoord,0,8
1958-1959,1959-03-15,NAC Breda,NOAD,4,2
1958-1959,1959-03-15,PSV,Roda JC,1,1
1958-1959,1959-03-15,Sparta Rotterdam,SC Enschede,3,1
1958-1959,1959-03-15,Willem II,SHS,5,0
1958-1959,1959-03-22,Blauw Wit,Sparta Rotterdam,1,1
1958-1959,1959-03-22,DOS,DWS,9,0
1958-1959,1959-03-22,Feyenoord,Elinkwijk,1,0
1958-1959,1959-03-22,MVV,Willem II,2,4
1958-1959,1959-03-22,NOAD,ADO Den Haag,1,1
1958-1959,1959-03-22,Roda JC,NAC Breda,2,3
1958-1959,1959-03-22,SC Enschede,Fortuna Sittard,1,1
1958-1959,1959-03-22,SHS,Ajax,2,9
1958-1959,1959-03-22,VVV-Venlo,PSV,1,2
1958-1959,1959-03-30,ADO Den Haag,Roda JC,2,2
1958-1959,1959-03-30,Ajax,MVV,0,2
1958-1959,1959-03-30,DWS,NOAD,2,1
1958-1959,1959-03-30,Elinkwijk,SC Enschede,4,0
1958-1959,1959-03-30,Fortuna Sittard,Blauw Wit,2,2
1958-1959,1959-03-30,PSV,NAC Breda,1,3
1958-1959,1959-03-30,Sparta Rotterdam,DOS,1,1
1958-1959,1959-03-30,VVV-Venlo,SHS,4,1
1958-1959,1959-03-30,Willem II,Feyenoord,2,1
1958-1959,1959-04-05,Blauw Wit,Elinkwijk,0,0
1958-1959,1959-04-05,DOS,Fortuna Sittard,0,0
1958-1959,1959-04-05,Feyenoord,Ajax,0,5
1958-1959,1959-04-05,MVV,VVV-Venlo,6,2
1958-1959,1959-04-05,NAC Breda,ADO Den Haag,2,1
1958-1959,1959-04-05,NOAD,Sparta Rotterdam,0,4
1958-1959,1959-04-05,Roda JC,DWS,1,0
1958-1959,1959-04-05,SC Enschede,Willem II,1,1
1958-1959,1959-04-05,SHS,PSV,2,3
1958-1959,1959-04-12,Ajax,SC Enschede,2,2
1958-1959,1959-04-12,DWS,NAC Breda,3,5
1958-1959,1959-04-12,Elinkwijk,DOS,0,4
1958-1959,1959-04-12,Fortuna Sittard,NOAD,3,1
1958-1959,1959-04-12,PSV,ADO Den Haag,1,2
1958-1959,1959-04-12,SHS,MVV,4,1
1958-1959,1959-04-12,Sparta Rotterdam,Roda JC,0,0
1958-1959,1959-04-12,VVV-Venlo,Feyenoord,4,2
1958-1959,1959-04-12,Willem II,Blauw Wit,3,1
1958-1959,1959-04-23,Feyenoord,SHS,4,1
1958-1959,1959-04-26,ADO Den Haag,DWS,4,4
1958-1959,1959-04-26,Blauw Wit,Ajax,1,0
1958-1959,1959-04-26,DOS,Willem II,2,0
1958-1959,1959-04-26,MVV,PSV,1,1
1958-1959,1959-04-26,NAC Breda,Sparta Rotterdam,0,3
1958-1959,1959-04-26,NOAD,Elinkwijk,1,0
1958-1959,1959-04-26,Roda JC,Fortuna Sittard,0,0
1958-1959,1959-04-26,SC Enschede,VVV-Venlo,2,0
1958-1959,1959-04-30,NOAD,VVV-Venlo,2,3
1958-1959,1959-05-03,Ajax,DOS,2,0
1958-1959,1959-05-03,Elinkwijk,Roda JC,1,3
1958-1959,1959-05-03,Fortuna Sittard,NAC Breda,2,1
1958-1959,1959-05-03,MVV,Feyenoord,1,1
1958-1959,1959-05-03,PSV,DWS,4,1
1958-1959,1959-05-03,SHS,SC Enschede,3,2
1958-1959,1959-05-03,Sparta Rotterdam,ADO Den Haag,4,1
1958-1959,1959-05-03,VVV-Venlo,Blauw Wit,6,2
1958-1959,1959-05-03,Willem II,NOAD,1,2
1958-1959,1959-05-17,MVV,SC Enschede,2,0
1958-1959,1959-05-18,ADO Den Haag,Fortuna Sittard,2,4
1958-1959,1959-05-18,Blauw Wit,SHS,2,3
1958-1959,1959-05-18,DOS,VVV-Venlo,1,1
1958-1959,1959-05-18,DWS,Sparta Rotterdam,0,4
1958-1959,1959-05-18,Feyenoord,PSV,1,1
1958-1959,1959-05-18,NAC Breda,Elinkwijk,1,1
1958-1959,1959-05-18,NOAD,Ajax,2,2
1958-1959,1959-05-18,Roda JC,Willem II,4,0
1958-1959,1959-05-18,SC Enschede,MVV,0,2
1958-1959,1959-05-24,Ajax,Roda JC,0,2
1958-1959,1959-05-24,Elinkwijk,ADO Den Haag,3,1
1958-1959,1959-05-24,Feyenoord,SC Enschede,4,2
1958-1959,1959-05-24,Fortuna Sittard,DWS,2,1
1958-1959,1959-05-24,MVV,Blauw Wit,4,2
1958-1959,1959-05-24,PSV,Sparta Rotterdam,4,2
1958-1959,1959-05-24,SHS,DOS,3,3
1958-1959,1959-05-24,VVV-Venlo,NOAD,5,4
1958-1959,1959-05-24,Willem II,NAC Breda,1,5
1958-1959,1959-05-31,ADO Den Haag,Willem II,7,3
